Tanggal,Jam,Water Level
8/31/2018,17:02,1.79
8/31/2018,18:03,1.859
8/31/2018,19:03,1.803
8/31/2018,20:03,1.743
9/1/2018,5:04,1.584
9/1/2018,7:00,1.505
9/1/2018,8:01,1.466
9/1/2018,10:02,1.507
9/1/2018,11:03,1.547
9/1/2018,12:03,1.662
9/1/2018,13:00,1.751
9/5/2018,22:02,1.808
9/5/2018,23:02,1.638
9/6/2018,0:02,1.467
9/6/2018,1:03,1.327
9/6/2018,2:03,1.207
9/6/2018,3:03,1.156
9/6/2018,4:02,1.069
9/6/2018,5:02,1.103
9/6/2018,6:00,1.178
9/6/2018,7:00,1.303
9/6/2018,8:00,1.402
10/1/2018,20:02,1.704
10/1/2018,21:02,1.567
10/1/2018,22:02,1.489
10/1/2018,23:03,1.375
10/2/2018,0:03,1.234
10/2/2018,1:03,1.285
10/2/2018,2:03,1.228
10/2/2018,3:03,1.328
10/2/2018,4:03,1.418
10/2/2018,5:03,1.419
10/2/2018,6:03,1.529
10/2/2018,7:04,1.56
10/2/2018,8:04,1.622
10/2/2018,9:04,1.672
10/2/2018,10:04,1.656
10/2/2018,11:04,1.711
10/2/2018,12:04,1.704
10/2/2018,13:00,1.929
10/2/2018,14:00,1.966
10/2/2018,15:00,2.046
10/2/2018,16:00,1.914
10/2/2018,17:00,1.976
10/2/2018,18:00,1.981
10/2/2018,19:00,1.914
10/12/2018,4:04,1.472
10/12/2018,5:04,1.511
10/12/2018,6:04,1.597
10/12/2018,7:04,1.64
10/12/2018,8:04,1.716
10/12/2018,9:00,1.8
10/12/2018,10:00,1.886
10/12/2018,11:00,2.025
10/12/2018,12:00,1.953
10/12/2018,13:00,1.841
10/12/2018,14:00,1.819
10/12/2018,15:00,1.773
10/12/2018,16:00,1.735
10/12/2018,17:00,1.607
10/12/2018,18:01,1.637
10/12/2018,19:01,1.465
10/12/2018,20:01,1.425
10/12/2018,21:01,1.42
10/12/2018,22:01,1.371
10/12/2018,23:01,1.412
10/13/2018,0:01,1.347
10/13/2018,1:01,1.353
10/13/2018,2:02,1.339
10/13/2018,3:02,1.387
10/13/2018,4:02,1.464
10/13/2018,5:02,1.52
10/13/2018,6:02,1.59
10/13/2018,7:02,1.656
10/13/2018,8:02,1.674
10/13/2018,9:03,1.751
10/13/2018,10:03,1.837
10/13/2018,11:03,1.903
10/13/2018,12:03,1.873
10/13/2018,13:03,1.836
10/13/2018,14:03,1.818
10/13/2018,15:03,1.711
10/13/2018,16:03,1.668
10/13/2018,17:04,1.558
